Segment>>,Consumer,,,,Consumer Total,Corporate,,,,Corporate Total,Home Office,,,,Home Office Total
Ship Mode>>,First Class,Same Day,Second Class,Standard Class,,First Class,Same Day,Second Class,Standard Class,,First Class,Same Day,Second Class,Standard Class,
Order ID,,,,,,,,,,,,,,,
CA-2011-100293,,,,,,,,,,,,,,91.056,91.056
CA-2011-100706,,,129.44,,129.44,,,,,,,,,,
CA-2011-100895,,,,605.47,605.47,,,,,,,,,,
CA-2011-100916,,,,,,,,,788.86,788.86,,,,,
CA-2011-101266,,,13.36,,13.36,,,,,,,,,,
CA-2011-101560,,,,,,,,542.34,,542.34,,,,,
CA-2011-101770,,,,,,,,,1.869,1.869,,,,,
CA-2011-102274,,,,,,,,,865.5,865.5,,,,,
CA-2011-102673,,,,,,,,,1044.44,1044.44,,,,,
CA-2011-102988,,,,,,,,4251.92,,4251.92,,,,,
CA-2011-103317,,,,,,242.546,,,,242.546,,,,,
CA-2011-103366,149.95,,,,149.95,,,,,,,,,,
CA-2011-103807,,,,,,,,,21.19,21.19,,,,,
CA-2011-103989,,,,,,590.762,,,,590.762,,,,,
CA-2011-104283,,,,616.14,616.14,,,,,,,,,,
CA-2011-106054,,,,,,12.78,,,,12.78,,,,,
CA-2011-106810,,,,,,,,,310.88,310.88,,,,,
